factor_a,factor_b,factor_c,factor_d,costo
0,0,1,0,0.0103954
0,0,1,0,0.0070294
0,0,1,0,0.0102637
0,0,1,0,0.0067009
0,0,1,0,0.0108333
0,0,1,0,0.0066199
0,0,1,0,0.0063489
0,0,1,0,0.0113497
0,0,1,0,0.011596
0,0,1,0,0.0115307
0,0,1,0,0.0071602
0,0,1,0,0.0063768
0,0,1,0,0.0093166
0,0,1,0,0.0075817
0,0,1,0,0.0074645
0,0,1,0,0.0077363
0,0,1,1,0.004017
0,0,1,1,0.0042435
0,0,1,1,0.0046001
0,0,1,1,0.0046359
0,0,1,1,0.0045967
0,0,1,1,0.0043722
0,0,1,1,0.0048849
0,0,1,1,0.0043973
0,0,1,1,0.0045435
0,0,1,1,0.0040781
0,0,1,1,0.0049192
0,0,1,1,0.0049273
0,0,1,1,0.0041901
0,0,1,1,0.0047919
0,0,1,1,0.004753
0,0,1,1,0.0046305
0,0,1,1,0.0045989
0,0,1,1,0.00488
0,0,1,1,0.0049005
0,0,1,1,0.0049711
0,0,1,1,0.0039479
0,0,1,1,0.0045444
0,0,1,1,0.0045639
0,0,1,1,0.004781
0,0,1,1,0.004662
0,0,1,1,0.0045315
0,0,1,1,0.0042321
0,0,1,1,0.0051635
0,0,1,1,0.0045935
0,0,1,1,0.004802
0,1,0,0,0.010961
0,1,0,0,0.0132163
0,1,0,0,0.0171126
0,1,0,0,0.0132508
0,1,0,0,0.0136355
0,1,0,0,0.0131035
0,1,0,0,0.0172997
0,1,0,0,0.0116047
0,1,0,0,0.0161537
0,1,0,0,0.0105702
0,1,0,0,0.0168191
0,1,0,0,0.0161443
0,1,0,0,0.0140238
0,1,0,0,0.0171951
0,1,0,0,0.0157954
0,1,0,0,0.0126806
0,1,0,0,0.0170882
0,1,0,0,0.0169889
0,1,0,0,0.0097648
0,1,0,0,0.0141871
0,1,0,0,0.0113071
0,1,0,0,0.015292
0,1,0,0,0.0139282
0,1,0,0,0.016767
0,1,0,0,0.0150886
0,1,0,0,0.0118437
0,1,0,0,0.011449
